STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,SEX,Sex,AGE,Age,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q1,,19770,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q2,,22368,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q3,,29542,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q4,,32348,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q1,,32658,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q2,,32677,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q3,,32429,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q4,,30750,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q1,,27641,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q2,,24529,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q3,,21278,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q4,,20333,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2025-Q1,,19932,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2020-Q3,,6591437,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2020-Q4,,6567195,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2021-Q1,,6555302,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2021-Q2,,6547822,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2021-Q3,,6543116,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2021-Q4,,6555013,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2022-Q1,,6591580,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2022-Q2,,6615232,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2022-Q3,,6657690,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2022-Q4,,6700395,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2023-Q1,,6757251,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2023-Q2,,6797169,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2023-Q3,,6845666,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2023-Q4,,6881068,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2024-Q1,,6928534,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2024-Q2,,6950823,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2024-Q3,,6982857,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2024-Q4,,7007650,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,2,Victoria,Q,Quarterly,2025-Q1,,7053122,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2020-Q3,,0.34,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2020-Q4,,0.07,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2021-Q1,,-0.23,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2021-Q2,,-0.17,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2021-Q3,,-0.03,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2021-Q4,,0.28,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2022-Q1,,0.74,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2022-Q2,,1.05,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2022-Q3,,1.57,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2022-Q4,,1.81,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2023-Q1,,2.01,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2023-Q2,,2.13,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2023-Q3,,2.22,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2023-Q4,,2.1,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2024-Q1,,1.92,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2024-Q2,,1.62,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2024-Q3,,1.37,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2024-Q4,,1.23,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,1,New South Wales,Q,Quarterly,2025-Q1,,1.2,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2020-Q3,,0.44,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2020-Q4,,0.65,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2021-Q1,,0.49,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2021-Q2,,0.29,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2021-Q3,,0.69,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2021-Q4,,1.08,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2022-Q1,,1.58,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2022-Q2,,1.99,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2022-Q3,,1.98,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2022-Q4,,1.91,,PCT,Percent,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,3,ERP Percentage Change Over Previous Year,3,Persons,TOT,All ages,7,Northern Territory,Q,Quarterly,2023-Q1,,1.73,,PCT,Percent,,,,
